,LATRINE,SEASON,RS,SITE.NO,SP.ALL,SPRAINT1M,BEDDING,FR.SPR,RUN,SPILES.BIN,SPILES
1,0,AUTUMN,0,SITE8,0,0,0,0,1,0,0
2,0,WINTER,0,SITE8,3,3,0,1,1,0,0
3,0,WINTER,0,SITE8,1,1,0,0,1,0,0
4,0,SPRING,0,SITE8,0,0,0,0,1,0,0
5,0,SPRING,0,SITE8,0,0,0,0,1,0,0
6,0,SPRING,0,SITE8,0,0,0,0,1,0,0
7,0,SUMMER,0,SITE8,0,0,0,0,1,0,0
8,0,SUMMER,0,SITE8,0,0,0,0,0,0,0
9,0,AUTUMN,0,SITE8,0,0,0,0,0,0,0
10,0,AUTUMN,0,SITE8,0,0,0,0,0,0,0
11,0,AUTUMN,0,SITE8,0,0,0,0,0,0,0
12,0,AUTUMN,0,SITE9,1,1,0,1,0,0,0
13,0,AUTUMN,0,SITE9,3,3,0,1,0,0,0
14,0,WINTER,0,SITE9,1,1,0,0,0,0,0
15,0,WINTER,0,SITE9,2,1,0,1,0,0,0
16,0,WINTER,0,SITE9,0,0,0,0,0,0,0
17,0,SPRING,0,SITE9,0,0,0,0,0,0,0
18,0,SPRING,0,SITE9,0,0,0,0,0,0,0
19,0,SPRING,0,SITE9,1,1,0,0,0,0,0
20,0,SPRING,0,SITE9,0,0,0,0,0,0,0
21,0,SUMMER,0,SITE9,2,2,0,0,0,0,0
22,1,SPRING,1,SITE1,38,7,1,1,1,1,3
23,1,SPRING,1,SITE1,30,4,0,1,1,1,3
24,1,SUMMER,1,SITE1,36,4,0,1,1,1,4
25,1,SUMMER,1,SITE1,16,4,0,0,1,1,5
26,0,SUMMER,1,SITE1,27,12,0,1,1,1,4
27,0,SUMMER,1,SITE1,25,8,0,1,1,1,4
28,1,AUTUMN,1,SITE1,18,2,0,1,1,1,2
29,0,AUTUMN,1,SITE1,24,4,0,1,1,1,5
30,1,AUTUMN,1,SITE1,18,5,0,0,1,1,3
31,1,WINTER,1,SITE1,19,8,1,1,1,1,3
32,1,WINTER,1,SITE1,20,13,0,1,1,1,1
33,1,SPRING,1,SITE1,15,10,0,1,1,1,1
34,1,SPRING,1,SITE1,8,4,0,1,1,1,1
35,1,SPRING,1,SITE1,13,11,0,1,1,1,1
36,0,SUMMER,1,SITE1,38,18,0,1,1,1,4
37,0,SPRING,0,SITE10,3,3,0,0,1,0,0
38,0,SPRING,0,SITE10,7,5,1,1,1,0,0
39,0,SPRING,0,SITE10,7,2,0,0,1,1,1
40,0,SPRING,0,SITE10,5,1,0,1,1,1,1
41,0,SUMMER,0,SITE10,13,9,0,1,1,1,2
42,0,SUMMER,0,SITE10,2,1,0,1,1,0,0
43,0,SUMMER,0,SITE10,3,2,0,1,1,0,0
44,0,AUTUMN,0,SITE10,3,1,0,1,1,0,0
45,0,AUTUMN,0,SITE10,16,8,0,1,1,1,4
46,0,AUTUMN,0,SITE10,25,15,0,1,1,1,4
47,0,AUTUMN,0,SITE10,13,8,0,1,1,1,3
48,0,WINTER,0,SITE10,18,10,0,1,1,1,3
49,0,WINTER,0,SITE10,11,4,0,0,1,1,2
50,0,WINTER,0,SITE10,3,3,0,1,1,0,0
