RECORD,CAMS,DATE,ALL.RESTS,SEASON,WINTER.DAY,SPRING.DAY,WINT.SPR.DAY,DATE.CYCLE
416,1,03/12/2017,0,WINTER,1,NA,1,1
418,1,04/12/2017,0,WINTER,2,NA,2,1
422,1,05/12/2017,0,WINTER,3,NA,3,1
423,1,06/12/2017,0,WINTER,4,NA,4,1
424,1,07/12/2017,0,WINTER,5,NA,5,1
428,1,08/12/2017,0,WINTER,6,NA,6,1
431,1,09/12/2017,0,WINTER,7,NA,7,1
433,1,10/12/2017,0,WINTER,8,NA,8,1
438,1,11/12/2017,0,WINTER,9,NA,9,1
441,1,12/12/2017,0,WINTER,10,NA,10,1
444,1,13/12/2017,0,WINTER,11,NA,11,1
447,1,14/12/2017,0,WINTER,12,NA,12,1
452,1,15/12/2017,0,WINTER,13,NA,13,1
459,1,16/12/2017,0,WINTER,14,NA,14,1
461,1,17/12/2017,0,WINTER,15,NA,15,1
465,1,18/12/2017,0,WINTER,16,NA,16,1
467,1,19/12/2017,0,WINTER,17,NA,17,1
469,1,20/12/2017,0,WINTER,18,NA,18,1
472,1,21/12/2017,0,WINTER,19,NA,19,1
474,1,22/12/2017,0,WINTER,20,NA,20,1
477,1,23/12/2017,0,WINTER,21,NA,21,1
481,1,24/12/2017,0,WINTER,22,NA,22,1
482,1,25/12/2017,0,WINTER,23,NA,23,1
483,1,26/12/2017,0,WINTER,24,NA,24,1
484,1,27/12/2017,0,WINTER,25,NA,25,1
487,1,28/12/2017,0,WINTER,26,NA,26,1
492,1,29/12/2017,0,WINTER,27,NA,27,1
494,1,30/12/2017,0,WINTER,28,NA,28,1
496,1,31/12/2017,0,WINTER,29,NA,29,1
498,1,01/01/2018,0,WINTER,30,NA,30,1
499,1,02/01/2018,0,WINTER,31,NA,31,1
500,1,03/01/2018,0,WINTER,32,NA,32,1
501,1,04/01/2018,0,WINTER,33,NA,33,1
502,1,05/01/2018,0,WINTER,34,NA,34,1
503,1,06/01/2018,0,WINTER,35,NA,35,1
505,1,07/01/2018,0,WINTER,36,NA,36,1
507,1,08/01/2018,0,WINTER,37,NA,37,1
509,1,09/01/2018,0,WINTER,38,NA,38,1
512,1,10/01/2018,0,WINTER,39,NA,39,1
513,1,11/01/2018,0,WINTER,40,NA,40,1
514,1,12/01/2018,0,WINTER,41,NA,41,1
515,1,13/01/2018,0,WINTER,42,NA,42,1
517,1,14/01/2018,0,WINTER,43,NA,43,1
518,1,15/01/2018,0,WINTER,44,NA,44,1
519,1,16/01/2018,0,WINTER,45,NA,45,1
522,1,17/01/2018,0,WINTER,46,NA,46,1
524,1,18/01/2018,0,WINTER,47,NA,47,1
525,1,19/01/2018,0,WINTER,48,NA,48,1
528,1,20/01/2018,0,WINTER,49,NA,49,1
530,1,21/01/2018,0,WINTER,50,NA,50,1
532,1,22/01/2018,0,WINTER,51,NA,51,1
533,1,23/01/2018,0,WINTER,52,NA,52,1
534,1,24/01/2018,0,WINTER,53,NA,53,1
535,1,25/01/2018,0,WINTER,54,NA,54,1
536,1,26/01/2018,0,WINTER,55,NA,55,1
537,1,27/01/2018,0,WINTER,56,NA,56,1
538,1,28/01/2018,0,WINTER,57,NA,57,1
540,1,29/01/2018,0,WINTER,58,NA,58,1
541,1,30/01/2018,0,WINTER,59,NA,59,1
543,1,31/01/2018,0,WINTER,60,NA,60,1
544,1,01/02/2018,0,WINTER,61,NA,61,1
545,1,02/02/2018,0,WINTER,62,NA,62,1
548,1,03/02/2018,0,WINTER,63,NA,63,1
550,1,04/02/2018,0,WINTER,64,NA,64,1
553,1,05/02/2018,0,WINTER,65,NA,65,1
554,1,06/02/2018,0,WINTER,66,NA,66,1
557,1,07/02/2018,0,WINTER,67,NA,67,1
558,1,08/02/2018,0,WINTER,68,NA,68,1
559,1,09/02/2018,0,WINTER,69,NA,69,1
560,1,10/02/2018,0,WINTER,70,NA,70,1
561,1,11/02/2018,0,WINTER,71,NA,71,1
563,1,12/02/2018,0,WINTER,72,NA,72,1
564,1,13/02/2018,0,WINTER,73,NA,73,1
566,1,14/02/2018,0,WINTER,74,NA,74,1
568,1,15/02/2018,0,WINTER,75,NA,75,1
569,1,16/02/2018,0,WINTER,76,NA,76,1
571,1,17/02/2018,0,WINTER,77,NA,77,1
572,1,18/02/2018,0,WINTER,78,NA,78,1
573,1,19/02/2018,0,WINTER,79,NA,79,1
574,1,20/02/2018,0,WINTER,80,NA,80,1
576,1,21/02/2018,0,WINTER,81,NA,81,1
578,1,22/02/2018,0,WINTER,82,NA,82,1
579,1,23/02/2018,0,WINTER,83,NA,83,1
580,1,24/02/2018,0,WINTER,84,NA,84,1
583,1,25/02/2018,0,WINTER,85,NA,85,1
585,1,26/02/2018,0,WINTER,86,NA,86,1
586,1,27/02/2018,0,WINTER,87,NA,87,1
587,1,28/02/2018,0,WINTER,88,NA,88,1
589,1,01/03/2018,0,SPRING,NA,1,89,1
590,1,02/03/2018,0,SPRING,NA,2,90,1
591,1,03/03/2018,0,SPRING,NA,3,91,1
594,1,04/03/2018,0,SPRING,NA,4,92,1
595,1,05/03/2018,0,SPRING,NA,5,93,1
597,1,06/03/2018,0,SPRING,NA,6,94,1
598,1,07/03/2018,0,SPRING,NA,7,95,1
599,1,08/03/2018,0,SPRING,NA,8,96,1
600,1,09/03/2018,0,SPRING,NA,9,97,1
601,1,10/03/2018,0,SPRING,NA,10,98,1
606,1,11/03/2018,0,SPRING,NA,11,99,1
607,1,12/03/2018,0,SPRING,NA,12,100,1
608,1,13/03/2018,0,SPRING,NA,13,101,1
609,1,14/03/2018,0,SPRING,NA,14,102,1
610,1,15/03/2018,0,SPRING,NA,15,103,1
611,1,16/03/2018,0,SPRING,NA,16,104,1
613,1,17/03/2018,0,SPRING,NA,17,105,1
615,1,18/03/2018,0,SPRING,NA,18,106,1
616,1,19/03/2018,0,SPRING,NA,19,107,1
619,1,20/03/2018,0,SPRING,NA,20,108,1
622,1,21/03/2018,0,SPRING,NA,21,109,1
623,1,22/03/2018,0,SPRING,NA,22,110,1
625,1,23/03/2018,0,SPRING,NA,23,111,1
627,1,24/03/2018,0,SPRING,NA,24,112,1
628,1,25/03/2018,0,SPRING,NA,25,113,1
629,1,26/03/2018,0,SPRING,NA,26,114,1
632,1,27/03/2018,0,SPRING,NA,27,115,1
633,1,28/03/2018,0,SPRING,NA,28,116,1
634,1,29/03/2018,0,SPRING,NA,29,117,1
637,1,30/03/2018,0,SPRING,NA,30,118,1
640,1,31/03/2018,0,SPRING,NA,31,119,1
642,1,01/04/2018,1,SPRING,NA,32,120,1
645,1,02/04/2018,0,SPRING,NA,33,121,1
647,1,03/04/2018,1,SPRING,NA,34,122,1
648,1,04/04/2018,0,SPRING,NA,35,123,1
649,1,05/04/2018,0,SPRING,NA,36,124,1
650,1,06/04/2018,0,SPRING,NA,37,125,1
651,1,07/04/2018,0,SPRING,NA,38,126,1
652,1,08/04/2018,0,SPRING,NA,39,127,1
653,1,09/04/2018,0,SPRING,NA,40,128,1
654,1,10/04/2018,0,SPRING,NA,41,129,1
655,1,11/04/2018,0,SPRING,NA,42,130,1
660,1,12/04/2018,0,SPRING,NA,43,131,1
661,1,13/04/2018,0,SPRING,NA,44,132,1
662,1,14/04/2018,0,SPRING,NA,45,133,1
664,1,15/04/2018,0,SPRING,NA,46,134,1
665,1,16/04/2018,0,SPRING,NA,47,135,1
666,1,17/04/2018,0,SPRING,NA,48,136,1
668,1,18/04/2018,0,SPRING,NA,49,137,1
669,1,19/04/2018,0,SPRING,NA,50,138,1
673,1,20/04/2018,0,SPRING,NA,51,139,1
674,1,21/04/2018,0,SPRING,NA,52,140,1
676,1,22/04/2018,0,SPRING,NA,53,141,1
677,1,23/04/2018,0,SPRING,NA,54,142,1
678,1,24/04/2018,0,SPRING,NA,55,143,1
679,1,25/04/2018,0,SPRING,NA,56,144,1
685,1,26/04/2018,0,SPRING,NA,57,145,1
687,1,27/04/2018,1,SPRING,NA,58,146,1
688,1,28/04/2018,0,SPRING,NA,59,147,1
693,1,29/04/2018,0,SPRING,NA,60,148,1
696,1,30/04/2018,0,SPRING,NA,61,149,1
698,1,01/05/2018,0,SPRING,NA,62,150,1
699,1,02/05/2018,0,SPRING,NA,63,151,1
700,1,03/05/2018,0,SPRING,NA,64,152,1
702,1,04/05/2018,0,SPRING,NA,65,153,1
704,1,05/05/2018,0,SPRING,NA,66,154,1
